Month,Avg. Players,Gain,%Gain,Peak Players
May 2020,129808.6,78493.50,1.5296,486918
April 2020,51315.1,20321.60,0.6557,72280
March 2020,30993.5,3182.50,0.1144,48542
February 2020,27811,-1703.30,-0.0577,42862
January 2020,29514.3,-6072.80,-0.1706,49672
December 2019,35587.1,14576.20,0.6937,57927
November 2019,21011,5861.90,0.387,53380
October 2019,15149,-825.30,-0.0517,25955
September 2019,15974.3,-4467.60,-0.2186,26791
August 2019,20441.9,-5466.60,-0.211,27917
July 2019,25908.5,1883.90,0.0784,35010
June 2019,24024.6,3863.80,0.1916,35123
May 2019,20160.8,400.00,0.0202,34594
April 2019,19760.8,2285.50,0.1308,35231
March 2019,17475.3,-2875.20,-0.1413,28659
February 2019,20350.5,-4298.70,-0.1744,34169
January 2019,24649.2,6872.70,0.3866,39437
December 2018,17776.4,2140.50,0.1369,31424
November 2018,15636,736.80,0.0495,28050
October 2018,14899.1,214.40,0.0146,26054
September 2018,14684.8,-3250.40,-0.1812,25303
August 2018,17935.2,-5144.50,-0.2229,25523
July 2018,23079.6,2997.50,0.1493,31403
June 2018,20082.1,2140.00,0.1193,30003
May 2018,17942.1,-49.70,-0.0028,30276
April 2018,17991.8,108.00,0.006,31058
March 2018,17883.8,-583.30,-0.0316,29904
February 2018,18467,-2220.90,-0.1074,29858
January 2018,20688,1101.90,0.0563,34396
December 2017,19586,2955.40,0.1777,33063
November 2017,16630.7,357.80,0.022,29128
October 2017,16272.8,-16.20,-0.001,29120
September 2017,16289,-3299.30,-0.1684,27568
August 2017,19588.4,-3824.70,-0.1634,28218
July 2017,23413.1,3808.60,0.1943,31959
June 2017,19604.5,2496.20,0.1459,30594
May 2017,17108.4,110.00,0.0065,29192
April 2017,16998.4,2046.50,0.1369,31152
March 2017,14951.9,-1451.30,-0.0885,26626
February 2017,16403.1,-3022.30,-0.1556,27644
January 2017,19425.4,110.10,0.0057,34214
December 2016,19315.3,2169.80,0.1266,32543
November 2016,17145.5,3780.90,0.2829,36926
October 2016,13364.5,604.40,0.0474,23776
September 2016,12760.1,-2329.70,-0.1544,24473
August 2016,15089.8,-4723.80,-0.2384,22057
July 2016,19813.6,1004.70,0.0534,33051
June 2016,18808.9,4090.80,0.2779,30486
May 2016,14718.1,767.10,0.055,30112
April 2016,13951,-574.50,-0.0396,25034
March 2016,14525.5,-1007.90,-0.0649,25409
February 2016,15533.4,-5391.60,-0.2577,26573
January 2016,20925,1390.60,0.0712,39425
December 2015,19534.4,5425.40,0.3845,37821
November 2015,14109,-1457.50,-0.0936,28867
October 2015,15566.5,-2100.70,-0.1189,28621
September 2015,17667.1,-11516.00,-0.3946,33538
August 2015,29183.1,-42949.50,-0.5954,54486
July 2015,72132.6,58951.80,4.4726,149316
June 2015,13180.7,4623.00,0.5402,158947
May 2015,8557.8,502.20,0.0623,15021
April 2015,8055.5,-131.50,-0.0161,14185
March 2015,8187.1,-1298.70,-0.1369,15502
February 2015,9485.8,-2858.80,-0.2316,16831
January 2015,12344.5,-1268.10,-0.0932,26016
December 2014,13612.6,5003.70,0.5812,27255
November 2014,8608.9,-442.60,-0.0489,22395
October 2014,9051.5,-974.00,-0.0972,16597
September 2014,10025.5,533.80,0.0562,20721
August 2014,9491.6,-4531.00,-0.3231,14455
July 2014,14022.6,317.70,0.0232,28048
June 2014,13705,2589.00,0.2329,32249
May 2014,11115.9,4677.00,0.7264,26328
April 2014,6438.9,-774.60,-0.1074,11069
March 2014,7213.5,-1182.60,-0.1408,14336
February 2014,8396.1,-2453.50,-0.2261,17002
January 2014,10849.6,-3262.30,-0.2312,22962
December 2013,14111.9,-2320.00,-0.1412,27274
November 2013,16431.9,-24625.20,-0.5998,40370
October 2013,41057.1,36447.20,7.9063,97392
September 2013,4609.9,-308.00,-0.0626,12057
August 2013,4917.9,-2256.10,-0.3145,8392
July 2013,7174,1097.10,0.1805,18750
June 2013,6076.9,-514.30,-0.078,11339
May 2013,6591.2,541.10,0.0894,14305
April 2013,6050.1,959.10,0.1884,11856
March 2013,5091,882.80,0.2098,14259
February 2013,4208.3,-1817.10,-0.3016,8502
January 2013,6025.4,1383.30,0.298,13303
December 2012,4642.1,665.90,0.1675,9119
November 2012,3976.2,785.10,0.246,10799
October 2012,3191,-728.90,-0.186,6664
September 2012,3920,-796.10,-0.1688,8503
August 2012,4716.1,-4306.70,-0.4773,8399
July 2012,9022.8,-,-,16097
